                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8967,                 3.5484,                 1.7044,                0.00346,                0.73423,                0.05048,                0.01901,                 2.3385,                 4.7888,                 2.0848,             0.00064762,             0.00064762,             0.00064762
                      1,                 1.8418,                 2.8605,                 1.6694,                0.19836,                0.11703,                0.09733,                0.03968,                 1.9059,                 3.7743,                 1.7737,             0.00088057,             0.00088057,             0.00088057
                      2,                 1.8028,                 2.6825,                 1.6699,                0.25652,                0.28378,                0.20426,                0.08463,                 1.7866,                 3.3571,                 1.7097,             0.00067352,             0.00067352,             0.00067352
