                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                 1.1566,                 1.1559,                 1.2152,                0.72372,                0.73874,                  0.783,                0.46383,                  1.433,                 1.1301,                  1.453,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.1576,                 1.1227,                 1.2425,                0.65353,                0.63725,                0.67252,                0.35193,                 1.6165,                 1.3658,                 1.5758,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.1452,                 1.0635,                 1.2113,                0.75188,                0.70721,                 0.7632,                0.42809,                 1.4905,                 1.1455,                 1.4887,               0.001043,               0.001043,               0.001043
                    147,                 1.1668,                 1.1053,                 1.2385,                0.69688,                0.73423,                 0.7729,                 0.4408,                 1.4851,                 1.1136,                 1.4805,              0.0010364,              0.0010364,              0.0010364
                    148,                 1.1634,                 1.0921,                  1.249,                 0.7189,                 0.7373,                0.77184,                 0.4392,                 1.4453,                 1.1655,                 1.4345,              0.0010298,              0.0010298,              0.0010298
                    149,                  1.168,                 1.0821,                 1.2314,                0.78491,                0.67396,                0.76718,                0.44726,                 1.4566,                 1.1212,                 1.4389,              0.0010232,              0.0010232,              0.0010232
                    150,                  1.152,                 1.1098,                 1.2225,                0.73622,                0.72072,                0.75682,                0.44295,                 1.4803,                 1.1673,                 1.4551,              0.0010166,              0.0010166,              0.0010166
                    151,                 1.2034,                 1.1638,                 1.2807,                0.78032,                0.69369,                0.76173,                0.44522,                 1.4585,                 1.1215,                 1.4376,                0.00101,                0.00101,                0.00101
                    152,                 1.1877,                 1.1048,                 1.2527,                0.74084,                0.65673,                0.74415,                0.42246,                 1.5436,                 1.2053,                 1.5294,              0.0010034,              0.0010034,              0.0010034
                    153,                 1.1933,                 1.1337,                 1.2679,                 0.7644,                0.65766,                0.74244,                0.42305,                 1.5629,                 1.1608,                 1.5084,              0.0009968,              0.0009968,              0.0009968
                    154,                 1.1769,                 1.1141,                 1.2619,                0.70532,                0.71622,                0.73968,                 0.4333,                 1.4992,                 1.1298,                 1.4796,              0.0009902,              0.0009902,              0.0009902
                    155,                 1.1522,                 1.0832,                 1.2136,                0.77624,                0.69369,                0.78452,                0.46132,                 1.4452,                 1.0689,                 1.4446,              0.0009836,              0.0009836,              0.0009836
                    156,                 1.1431,                 1.0896,                 1.2286,                 0.7583,                0.74775,                0.78547,                0.46246,                 1.4492,                 1.1074,                 1.4564,               0.000977,               0.000977,               0.000977
                    157,                 1.1294,                 1.0572,                 1.2231,                0.80143,                0.67117,                0.77113,                0.45181,                  1.509,                 1.1459,                 1.5107,              0.0009704,              0.0009704,              0.0009704
                    158,                 1.1105,                 1.0567,                 1.2025,                0.78689,                0.73874,                0.79818,                0.47393,                 1.4483,                 1.0616,                 1.4637,              0.0009638,              0.0009638,              0.0009638
                    159,                 1.1272,                 1.0738,                 1.2205,                0.76943,                0.64865,                0.77009,                0.42494,                 1.5164,                 1.1629,                 1.5025,              0.0009572,              0.0009572,              0.0009572
                    160,                 1.1203,                 1.0715,                 1.2314,                0.74996,                0.66216,                0.75801,                0.43564,                 1.5005,                  1.189,                  1.482,              0.0009506,              0.0009506,              0.0009506
                    161,                 1.1367,                 1.0572,                  1.228,                0.75303,                 0.6982,                 0.7744,                0.44697,                 1.4823,                 1.1341,                 1.4612,               0.000944,               0.000944,               0.000944
                    162,                 1.1332,                 1.0494,                 1.2294,                0.83165,                 0.7343,                0.80282,                0.46434,                 1.4298,                  1.061,                 1.4085,              0.0009374,              0.0009374,              0.0009374
                    163,                 1.1266,                 1.0391,                 1.2226,                 0.7632,                0.72591,                0.78345,                0.45226,                 1.4837,                 1.1039,                 1.4633,              0.0009308,              0.0009308,              0.0009308
                    164,                 1.0999,                 1.0333,                 1.2142,                0.74719,                0.76577,                0.79849,                0.47188,                 1.4494,                 1.0803,                 1.4401,              0.0009242,              0.0009242,              0.0009242
                    165,                 1.1279,                 1.0312,                 1.1975,                0.74704,                0.74775,                0.79829,                0.46044,                 1.5045,                 1.0917,                 1.4878,              0.0009176,              0.0009176,              0.0009176
                    166,                 1.1216,                 1.0219,                  1.195,                 0.7989,                0.68002,                0.78341,                0.45027,                  1.476,                 1.0991,                 1.4609,               0.000911,               0.000911,               0.000911
                    167,                 1.1249,                 1.0384,                 1.2085,                0.74278,                0.75225,                0.79882,                0.45487,                 1.4713,                 1.0654,                 1.4598,              0.0009044,              0.0009044,              0.0009044
                    168,                 1.0776,                 1.0073,                 1.1849,                0.75527,                0.73679,                 0.7921,                0.45831,                 1.4909,                 1.0936,                 1.4503,              0.0008978,              0.0008978,              0.0008978
                    169,                 1.1347,                 1.0372,                 1.2002,                0.82085,                0.67117,                 0.7897,                0.45893,                 1.4602,                 1.0959,                 1.4765,              0.0008912,              0.0008912,              0.0008912
                    170,                 1.1282,                 1.0613,                 1.2178,                0.73478,                0.74877,                0.77093,                0.43835,                 1.5213,                 1.1084,                 1.5142,              0.0008846,              0.0008846,              0.0008846
                    171,                 1.1117,                 1.0655,                 1.2172,                0.73127,                0.67418,                0.74586,                0.42305,                 1.4996,                 1.1811,                 1.4681,               0.000878,               0.000878,               0.000878
                    172,                 1.1152,                 1.0771,                 1.2282,                0.75941,                 0.6967,                0.76862,                0.44366,                 1.5283,                 1.1267,                 1.5015,              0.0008714,              0.0008714,              0.0008714
                    173,                 1.0606,                 1.0472,                 1.1825,                0.78573,                0.73423,                0.79721,                0.44816,                 1.4829,                 1.0898,                 1.4795,              0.0008648,              0.0008648,              0.0008648
                    174,                  1.095,                 1.0134,                 1.1988,                0.76232,                0.72238,                0.79149,                0.46889,                 1.4742,                 1.0756,                 1.4867,              0.0008582,              0.0008582,              0.0008582
                    175,                 1.0584,                0.99483,                  1.171,                0.81709,                0.66216,                0.79009,                0.44395,                 1.5493,                 1.0998,                 1.5298,              0.0008516,              0.0008516,              0.0008516
                    176,                 1.0724,                  1.023,                 1.2019,                0.79916,                0.65766,                0.78863,                0.44733,                 1.4928,                 1.0779,                 1.4648,               0.000845,               0.000845,               0.000845
                    177,                  1.076,                 1.0439,                 1.1868,                 0.7754,                0.69369,                0.77999,                0.44765,                 1.4315,                 1.0643,                 1.4338,              0.0008384,              0.0008384,              0.0008384
                    178,                 1.0849,                  1.029,                 1.1986,                0.73281,                0.73874,                0.78707,                0.45577,                 1.4552,                 1.0921,                 1.4364,              0.0008318,              0.0008318,              0.0008318
                    179,                 1.0756,                0.97844,                 1.1765,                0.70737,                0.72955,                0.75742,                0.43084,                 1.4917,                  1.171,                 1.4941,              0.0008252,              0.0008252,              0.0008252
                    180,                 1.1009,                 1.0486,                 1.1987,                0.73672,                0.72523,                0.76448,                 0.4465,                 1.4918,                 1.0838,                 1.4679,              0.0008186,              0.0008186,              0.0008186
                    181,                  1.037,                0.95801,                 1.1605,                0.75426,                0.71622,                0.78015,                0.45283,                 1.5004,                  1.074,                 1.4731,               0.000812,               0.000812,               0.000812
                    182,                 1.0951,                0.98776,                 1.2017,                0.87512,                0.68468,                0.79323,                0.42907,                 1.5085,                 1.1439,                 1.4958,              0.0008054,              0.0008054,              0.0008054
